# turnike demo_bypass - backend: memory
# date: 2026-07-16T21:58:31Z
# commit: 47ad2c4
# topology: client -> nginx (round-robin, 1 worker) -> gateway-{1,2,3} -> mock; one shared redis
# route: /demo/ fixed_window rate=30 window=1h; identity: X-API-Key: demo-key; requests=150, sequential
# replica gateway-1: 172.21.0.5:8080
# replica gateway-2: 172.21.0.6:8080
# replica gateway-3: 172.21.0.4:8080
# columns: seq|status|x-ratelimit-remaining|upstream
112|429|0|172.21.0.6:8080
113|429|0|172.21.0.4:8080
114|429|0|172.21.0.5:8080
115|429|0|172.21.0.6:8080
116|429|0|172.21.0.4:8080
117|429|0|172.21.0.5:8080
118|429|0|172.21.0.6:8080
119|429|0|172.21.0.4:8080
120|429|0|172.21.0.5:8080
121|429|0|172.21.0.6:8080
122|429|0|172.21.0.4:8080
123|429|0|172.21.0.5:8080
124|429|0|172.21.0.6:8080
125|429|0|172.21.0.4:8080
126|429|0|172.21.0.5:8080
127|429|0|172.21.0.6:8080
128|429|0|172.21.0.4:8080
129|429|0|172.21.0.5:8080
130|429|0|172.21.0.6:8080
131|429|0|172.21.0.4:8080
132|429|0|172.21.0.5:8080
133|429|0|172.21.0.6:8080
134|429|0|172.21.0.4:8080
135|429|0|172.21.0.5:8080
136|429|0|172.21.0.6:8080
137|429|0|172.21.0.4:8080
138|429|0|172.21.0.5:8080
139|429|0|172.21.0.6:8080
140|429|0|172.21.0.4:8080
141|429|0|172.21.0.5:8080
142|429|0|172.21.0.6:8080
143|429|0|172.21.0.4:8080
144|429|0|172.21.0.5:8080
145|429|0|172.21.0.6:8080
146|429|0|172.21.0.4:8080
147|429|0|172.21.0.5:8080
148|429|0|172.21.0.6:8080
149|429|0|172.21.0.4:8080
150|429|0|172.21.0.5:8080
# redis keys matching turnike:* after run: none
# summary: total=150 200=90 429=60 other=0
# upstream gateway-1 (172.21.0.5:8080): requests=50 200=30
# upstream gateway-2 (172.21.0.6:8080): requests=50 200=30
# upstream gateway-3 (172.21.0.4:8080): requests=50 200=30
